"date","message","Number of files","Number of lines","0 - Ruby","1 - YAML","2 - ERB","3 - SASS","4 - JavaScript"
"2015-03-24 13:08:16 +0000","Add DraftEditionUpdater service.  This service does nothing except call its notifier. This will allow it to be called from the edition controller create/update without changing anything else.","2571","149348","81415","28631","15374","12730","9672"
"2015-03-25 15:00:59 +0000","Merge pull request #2054 from alphagov/add-history-mode-search-index  Add history mode fields to Edition search index","2569","149321","81393","28631","15371","12728","9672"
"2015-03-16 12:58:07 +0000","Generalised rake task  Instead of a rake task per-model, we can use a generalised one and pass in the model class name.","2566","149170","81266","28631","15347","12728","9672"
"2015-03-19 10:39:39 +0000","Reword tests for clarity","2557","148869","80967","28631","15345","12728","9672"
"2015-03-10 10:56:36 +0000","Populate dependencies for published case studies  https://trello.com/c/oYy2udbc","2563","149004","81102","28631","15345","12728","9672"
"2015-03-11 22:28:54 +0000","Merge pull request #2024 from alphagov/populate-missing-data  Set missing content ids for organisations","2558","148915","81049","28631","15335","12710","9672"
"2015-03-05 15:49:23 +0000","In CSV exports format boolean values as yes/no  This is friendlier to humans than 'true'/'false' in the export","2538","148372","80506","28631","15335","12710","9672"
"2015-02-23 07:42:13 +1100","Update ActionView::Helpers::FormBuilder usage  ActionView::Helpers::FormBuilder no longer accepts a Proc as its fifth argument.","2542","148573","80707","28631","15335","12710","9672"
"2015-03-03 17:30:07 +0000","Minor refactor to Government scopes  Don't use :scope when returning a single value, use class methods instead.  Remove redundant nil (implicit from return) and make the guard vs lookup more distinct","2536","148352","80491","28631","15330","12710","9672"
"2015-02-27 16:55:54 +0000","Update colour on status box  Remove legacy inside-gov green and replace with brand blue","2529","148247","80387","28631","15329","12703","9679"
"2015-02-19 17:35:38 +0000","Merge pull request #1983 from alphagov/fix-order-of-gemfile-lock  Fix order of Gemfile.lock","2528","148209","80326","28631","15325","12703","9706"
"2015-01-26 16:37:11 +0000","Fix issue with invalid AttachmentData  The upgrade to Rails 4 broke mass-assignment of FileAttachments whilst the associated Attachment file was awaiting virus scanning. The fix is to ensure that an AttachmentData record will still be valid whilst awaiting virus scanning.  This change is required because ActiveRecord now loads the associated AttachmentData *before* it checks if the nested attributes should be assigned or rejected because of the reject_if proc. This made the FileAttachment invalid for newly-uploaded FilAttachments that are still awaiting virus scanning because of the presence check on the AttachmentData `file` attribute.","2509","147863","80037","28631","15268","12703","9706"
